benchmark,scaling_param_name,scaling_param_value,num_blocks,threads_per_block,num_accesses,metric_name,metric_mean,kernel_ms_mean,n_reps
fp32_throughput,fmas_per_thread,1024,1024,64,,GFLOPS,288.1386,0.46798,7
fp32_throughput,fmas_per_thread,2048,1024,64,,GFLOPS,488.3171,0.553271,7
fp32_throughput,fmas_per_thread,4096,1024,64,,GFLOPS,1043.7357,0.520718,7
fp32_throughput,fmas_per_thread,8192,1024,64,,GFLOPS,2063.0929,0.523453,7
fp32_throughput,fmas_per_thread,16384,1024,64,,GFLOPS,3259.0314,0.661963,7
fp32_throughput,fmas_per_thread,32768,1024,64,,GFLOPS,6235.9286,0.693563,7
fp32_throughput,fmas_per_thread,65536,1024,64,,GFLOPS,4515.0686,2.041615,7
fp32_throughput,fmas_per_thread,131072,1024,64,,GFLOPS,13683.8543,1.349948,7
fp32_throughput,fmas_per_thread,262144,1024,64,,GFLOPS,20563.5543,1.67243,7
fp32_throughput,fmas_per_thread,524288,1024,64,,GFLOPS,24602.7643,2.793898,7
fp32_throughput,fmas_per_thread,1048576,1024,64,,GFLOPS,26794.9229,5.129787,7
fp32_throughput,fmas_per_thread,256,1024,256,,GFLOPS,275.3014,0.491919,7
fp32_throughput,fmas_per_thread,512,1024,256,,GFLOPS,554.3729,0.487743,7
fp32_throughput,fmas_per_thread,1024,1024,256,,GFLOPS,1067.7943,0.507869,7
fp32_throughput,fmas_per_thread,2048,1024,256,,GFLOPS,1915.1,0.568144,7
fp32_throughput,fmas_per_thread,4096,1024,256,,GFLOPS,3791.27,0.568911,7
fp32_throughput,fmas_per_thread,8192,1024,256,,GFLOPS,7879.1229,0.55326,7
fp32_throughput,fmas_per_thread,16384,1024,256,,GFLOPS,13377.95,0.642657,7
fp32_throughput,fmas_per_thread,32768,1024,256,,GFLOPS,23861.0543,0.720284,7
fp32_throughput,fmas_per_thread,65536,1024,256,,GFLOPS,19028.1357,1.8307,7
fp32_throughput,fmas_per_thread,131072,1024,256,,GFLOPS,44954.3686,1.530306,7
fp32_throughput,fmas_per_thread,262144,1024,256,,GFLOPS,53519.9229,2.568727,7
fp32_throughput,fmas_per_thread,524288,1024,256,,GFLOPS,55577.5557,4.946208,7
fp32_throughput,fmas_per_thread,1048576,1024,256,,GFLOPS,58409.9029,9.41244,7
fp32_throughput,fmas_per_thread,256,1024,1024,,GFLOPS,1091.5271,0.496934,7
fp32_throughput,fmas_per_thread,512,1024,1024,,GFLOPS,1846.51,0.588558,7
fp32_throughput,fmas_per_thread,1024,1024,1024,,GFLOPS,4244.47,0.509941,7
fp32_throughput,fmas_per_thread,2048,1024,1024,,GFLOPS,7560.0071,0.573408,7
fp32_throughput,fmas_per_thread,4096,1024,1024,,GFLOPS,14730.6043,0.583843,7
fp32_throughput,fmas_per_thread,8192,1024,1024,,GFLOPS,25485.8029,0.677712,7
fp32_throughput,fmas_per_thread,16384,1024,1024,,GFLOPS,37504.3271,0.91907,7
fp32_throughput,fmas_per_thread,32768,1024,1024,,GFLOPS,54555.0386,1.260711,7
fp32_throughput,fmas_per_thread,65536,1024,1024,,GFLOPS,43195.7257,3.222755,7
fp32_throughput,fmas_per_thread,131072,1024,1024,,GFLOPS,66413.0086,4.141664,7
fp32_throughput,fmas_per_thread,262144,1024,1024,,GFLOPS,71035.5814,7.739851,7
fp32_throughput,fmas_per_thread,524288,1024,1024,,GFLOPS,74928.12,14.674552,7
fp32_throughput,fmas_per_thread,1048576,1024,1024,,GFLOPS,77906.1286,28.226749,7
fp32_throughput,fmas_per_thread,256,4096,1,,GFLOPS,4.3571,0.485842,7
fp32_throughput,fmas_per_thread,512,4096,1,,GFLOPS,7.5314,0.563472,7
fp32_throughput,fmas_per_thread,1024,4096,1,,GFLOPS,17.5057,0.479575,7
fp32_throughput,fmas_per_thread,2048,4096,1,,GFLOPS,30.9657,0.544079,7
fp32_throughput,fmas_per_thread,4096,4096,1,,GFLOPS,58.0671,0.582488,7
fp32_throughput,fmas_per_thread,8192,4096,1,,GFLOPS,115.2943,0.58562,7
fp32_throughput,fmas_per_thread,16384,4096,1,,GFLOPS,190.4657,0.708648,7
fp32_throughput,fmas_per_thread,32768,4096,1,,GFLOPS,332.95,0.807118,7
fp32_throughput,fmas_per_thread,65536,4096,1,,GFLOPS,247.1714,2.331844,7
fp32_throughput,fmas_per_thread,131072,4096,1,,GFLOPS,436.2371,7.335082,7
fp32_throughput,fmas_per_thread,262144,4096,1,,GFLOPS,695.4271,3.088483,7
fp32_throughput,fmas_per_thread,524288,4096,1,,GFLOPS,757.5771,5.669812,7
fp32_throughput,fmas_per_thread,1048576,4096,1,,GFLOPS,788.4043,10.895491,7
fp32_throughput,fmas_per_thread,256,4096,32,,GFLOPS,138.2871,0.487818,7
fp32_throughput,fmas_per_thread,512,4096,32,,GFLOPS,239.8157,0.5652,7
fp32_throughput,fmas_per_thread,1024,4096,32,,GFLOPS,536.4543,0.504567,7
fp32_throughput,fmas_per_thread,2048,4096,32,,GFLOPS,1017.6129,0.527889,7
fp32_throughput,fmas_per_thread,4096,4096,32,,GFLOPS,1853.4171,0.584878,7
fp32_throughput,fmas_per_thread,8192,4096,32,,GFLOPS,3872.7486,0.557001,7
fp32_throughput,fmas_per_thread,16384,4096,32,,GFLOPS,5980.9486,0.723418,7
fp32_throughput,fmas_per_thread,32768,4096,32,,GFLOPS,10198.1429,0.845799,7
fp32_throughput,fmas_per_thread,65536,4096,32,,GFLOPS,8222.3214,2.149258,7
fp32_throughput,fmas_per_thread,131072,4096,32,,GFLOPS,9912.2,5.355639,7
fp32_throughput,fmas_per_thread,262144,4096,32,,GFLOPS,21657.3871,3.174659,7
fp32_throughput,fmas_per_thread,524288,4096,32,,GFLOPS,23178.3886,5.929937,7
fp32_throughput,fmas_per_thread,1048576,4096,32,,GFLOPS,24053.7886,11.427838,7
fp32_throughput,fmas_per_thread,256,4096,64,,GFLOPS,287.5457,0.46783,7
fp32_throughput,fmas_per_thread,512,4096,64,,GFLOPS,470.43,0.575538,7
fp32_throughput,fmas_per_thread,1024,4096,64,,GFLOPS,1110.1571,0.487304,7
fp32_throughput,fmas_per_thread,2048,4096,64,,GFLOPS,1937.7429,0.562012,7
fp32_throughput,fmas_per_thread,4096,4096,64,,GFLOPS,3629.2057,0.600923,7
fp32_throughput,fmas_per_thread,8192,4096,64,,GFLOPS,7606.54,0.56811,7
fp32_throughput,fmas_per_thread,16384,4096,64,,GFLOPS,12383.31,0.698086,7
fp32_throughput,fmas_per_thread,32768,4096,64,,GFLOPS,20043.9214,0.859713,7
fp32_throughput,fmas_per_thread,65536,4096,64,,GFLOPS,16253.3714,2.138054,7
fp32_throughput,fmas_per_thread,131072,4096,64,,GFLOPS,27932.9629,3.52452,7
fp32_throughput,fmas_per_thread,262144,4096,64,,GFLOPS,41097.9714,3.345062,7
