suite,benchmark,non_scaling_combo,non_scaling_slug,scaling_param_name,scaling_param_value,sim_time_ms_aligned,offset_ms,anchor_x,is_anchor,mape,smape
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,2048,0.018355,0.002495,256,False,0.063207,0.063207
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,4096,0.032734,0.002495,256,False,0.063207,0.063207
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,8192,0.061492,0.002495,256,False,0.063207,0.063207
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,16384,0.119008,0.002495,256,False,0.063207,0.063207
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,32768,0.234040,0.002495,256,False,0.063207,0.063207
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,65536,0.464104,0.002495,256,False,0.063207,0.063207
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,131072,0.924232,0.002495,256,False,0.063207,0.063207
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,262144,1.844489,0.002495,256,False,0.063207,0.063207
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,524288,3.685002,0.002495,256,False,0.063207,0.063207
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,1048576,7.366028,0.002495,256,False,0.063207,0.063207
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,256,0.005934,-0.002461,256,True,0.556545,0.556545
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,512,0.010289,-0.002461,256,False,0.556545,0.556545
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,1024,0.019195,-0.002461,256,False,0.556545,0.556545
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,2048,0.036134,-0.002461,256,False,0.556545,0.556545
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,4096,0.070628,-0.002461,256,False,0.556545,0.556545
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,8192,0.146113,-0.002461,256,False,0.556545,0.556545
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,16384,0.277079,-0.002461,256,False,0.556545,0.556545
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,32768,0.552211,-0.002461,256,False,0.556545,0.556545
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,65536,1.110815,-0.002461,256,False,0.556545,0.556545
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,131072,2.203519,-0.002461,256,False,0.556545,0.556545
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,262144,4.405003,-0.002461,256,False,0.556545,0.556545
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,524288,8.816326,-0.002461,256,False,0.556545,0.556545
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,1048576,17.614540,-0.002461,256,False,0.556545,0.556545
microbench,fp64_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,256,0.005653,0.001863,256,True,0.057784,0.057784
microbench,fp64_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,512,0.007451,0.001863,256,False,0.057784,0.057784
microbench,fp64_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,1024,0.011045,0.001863,256,False,0.057784,0.057784
microbench,fp64_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,2048,0.018235,0.001863,256,False,0.057784,0.057784
microbench,fp64_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,4096,0.032614,0.001863,256,False,0.057784,0.057784
microbench,fp64_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,8192,0.061372,0.001863,256,False,0.057784,0.057784
