suite,benchmark,non_scaling_combo,non_scaling_slug,scaling_param_name,scaling_param_value,time_ms_avg
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,512,0.148418
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,640,0.178125
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,768,0.215058
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,1024,0.267715
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,1280,0.332703
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,1536,0.400704
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,1792,0.479665
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,2048,0.565938
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,2560,0.776159
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,3072,0.918544
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,3584,0.999836
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,4096,1.114376
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,5120,1.325603
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,6144,1.608407
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,7168,1.833232
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,8192,2.082320
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,64,0.013751
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,128,0.016264
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,256,0.025324
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,384,0.035173
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,512,0.043980
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,640,0.052666
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,768,0.062729
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,1024,0.079768
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,1280,0.098250
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,1536,0.116130
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,1792,0.133824
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,2048,0.153040
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,2560,0.184566
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,3072,0.218109
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,3584,0.246106
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,4096,0.288309
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,5120,0.338583
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,6144,0.422378
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,7168,0.546790
altis,altis_raytracing,"height=2048, spheres=64",height-2048_spheres-64,width,8192,0.648117
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,64,0.006080
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,128,0.006602
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,256,0.008539
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,384,0.011346
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,512,0.012348
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,640,0.015008
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,768,0.016905
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,1024,0.021168
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,1280,0.025605
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,1536,0.029560
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,1792,0.033837
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,2048,0.038327
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,2560,0.045945
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,3072,0.054711
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,3584,0.062877
