run_id,suite,benchmark,platform,problem_size,kernel_name,iterations,avg_ms,min_ms,max_ms,stddev_ms
20260317-075319-odyssey,polybench,gesummv,hip,4096,gesummv,10,2.1877,2.1345,2.2319,0.0262
20260317-075319-odyssey,polybench,gramschmidt,hip,64,gramschmidt,10,46.7039,44.6497,50.6032,2.5723
20260317-075319-odyssey,polybench,gramschmidt,hip,128,gramschmidt,10,145.9282,130.6179,161.3746,7.7285
20260317-075319-odyssey,polybench,gramschmidt,hip,192,gramschmidt,10,328.5617,279.3208,357.0659,29.4795
20260317-075319-odyssey,polybench,gramschmidt,hip,256,gramschmidt,10,636.5550,624.7391,644.4722,7.9938
20260317-075319-odyssey,polybench,gramschmidt,hip,384,gramschmidt,10,1423.7727,1369.2306,1456.8589,25.6003
20260317-075319-odyssey,polybench,gramschmidt,hip,512,gramschmidt,10,2501.6693,2473.9993,2544.9644,23.2904
20260317-075319-odyssey,polybench,gramschmidt,hip,640,gramschmidt,10,3255.2835,3187.7561,3414.5239,65.3901
20260317-075319-odyssey,polybench,gramschmidt,hip,768,gramschmidt,10,5539.1456,5414.5542,5676.1914,81.3228
20260317-075319-odyssey,polybench,gramschmidt,hip,896,gramschmidt,10,8802.3410,8433.7910,9169.1006,208.2551
20260317-075319-odyssey,polybench,gramschmidt,hip,1024,gramschmidt,10,8765.9784,7861.3003,9603.6260,538.3623
20260317-075319-odyssey,polybench,mvt,hip,64,mvt,10,0.0201,0.0196,0.0208,0.0004
20260317-075319-odyssey,polybench,mvt,hip,128,mvt,10,0.0399,0.0394,0.0406,0.0004
20260317-075319-odyssey,polybench,mvt,hip,192,mvt,10,0.0567,0.0556,0.0577,0.0006
20260317-075319-odyssey,polybench,mvt,hip,256,mvt,10,0.0972,0.0940,0.1032,0.0032
20260317-075319-odyssey,polybench,mvt,hip,384,mvt,10,0.1471,0.1354,0.1510,0.0045
20260317-075319-odyssey,polybench,mvt,hip,512,mvt,10,0.1889,0.1828,0.1962,0.0046
20260317-075319-odyssey,polybench,mvt,hip,640,mvt,10,0.2368,0.2236,0.2459,0.0077
20260317-075319-odyssey,polybench,mvt,hip,768,mvt,10,0.2866,0.2728,0.2961,0.0085
